month,total_orders,product_revenue,freight_revenue,total_revenue,avg_delivery_days,late_pct,avg_review_score
2016-09-01,1,134.97,8.49,143.46,54.0,100.0,1.0
2016-10-01,265,40451.8,6219.68,46671.48,19.1,0.9,3.91
2016-12-01,1,10.9,8.72,19.62,4.0,0.0,5.0
2017-01-01,750,112573.39,15880.71,128454.1,12.1,2.8,4.17
2017-02-01,1653,235483.4,37173.86,272657.26,12.6,3.3,4.18
2017-03-01,2546,360865.25,55462.05,416327.3,12.4,5.6,4.13
2017-04-01,2303,341209.62,50274.83,391484.45,14.3,7.5,4.1
2017-05-01,3541,492111.74,78157.26,570269.0,10.9,3.7,4.2
2017-06-01,3134,425047.67,68744.6,493792.27,11.5,3.7,4.19
2017-07-01,3871,484455.74,85377.26,569833.0,11.0,3.7,4.18
2017-08-01,4193,559317.01,92106.73,651423.74,10.5,3.2,4.28
2017-09-01,4150,609750.15,94228.39,703978.54,11.4,5.1,4.19
2017-10-01,4478,651438.5,103778.95,755217.45,11.3,5.0,4.1
2017-11-01,7287,994983.64,166693.55,1161677.19,14.6,13.8,3.9
2017-12-01,5513,728836.17,117533.43,846369.6,14.8,8.2,4.01
2018-01-01,7069,930026.94,154176.02,1084202.96,13.7,6.5,4.0
2018-02-01,6554,835541.14,141452.06,976993.2,16.5,15.7,3.78
2018-03-01,7003,956923.96,168102.36,1125026.32,15.6,20.4,3.74
2018-04-01,6798,975779.41,159628.7,1135408.11,10.9,4.8,4.11
2018-05-01,6747,977985.69,151348.86,1129334.55,10.9,8.0,4.16
2018-06-01,6093,855736.97,155839.58,1011576.55,8.7,1.3,4.21
2018-07-01,6156,869375.49,160265.75,1029641.24,8.4,4.4,4.27
2018-08-01,6351,838650.76,146945.58,985596.34,7.3,10.4,4.25
